id,timestamp,message,attributes,tags
cb2a26f0-4182-4692-b38c-57820ea7c34b,2026-06-04 05:40:10.435950000,  Applying auth.0004_alter_user_username_opts... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
b5ef41a7-afc2-4c84-a106-f5334b19e5e5,2026-06-04 05:40:10.441195000,  Applying auth.0005_alter_user_last_login_null... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
f209d41d-b3e6-4749-aa41-89ba28036316,2026-06-04 05:40:10.443124000,  Applying auth.0006_require_contenttypes_0002... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
056b83b0-4785-41e6-8ce6-872906a5666c,2026-06-04 05:40:10.448573000,  Applying auth.0007_alter_validators_add_error_messages... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
0a1e1ddc-eedf-4625-91ae-f3f94233e63f,2026-06-04 05:40:10.453505000,  Applying auth.0008_alter_user_username_max_length... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
183819c8-d267-41f5-9036-d46af2ae5a46,2026-06-04 05:40:10.458418000,  Applying auth.0009_alter_user_last_name_max_length... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
ff1301c6-59e3-44ce-9e36-ad81a98e6a72,2026-06-04 05:40:10.464104000,  Applying auth.0010_alter_group_name_max_length... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
08262c50-d066-469b-a10f-82e55ad94bea,2026-06-04 05:40:10.469098000,  Applying auth.0011_update_proxy_permissions... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
fc1d9a00-8279-4588-9cb1-d861595370d9,2026-06-04 05:40:10.530465000,  Applying auth.0012_alter_user_first_name_max_length... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
fd7bc4ec-0086-4ea9-8c41-bba9120aee12,2026-06-04 05:40:10.665541000,  Applying accounts.0001_initial... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
